2026-02-04 18:26:49 [SCORE] No existing scores.txt, starting fresh.
2026-02-04 18:35:34 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:35 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:36 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:37 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:38 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:38 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:39 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:40 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:41 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:42 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:42 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:46 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:47 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:48 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:49 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:49 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:50 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:51 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:52 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:53 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:53 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:54 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:35:55 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:35:56 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:35:57 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:35:57 [SCHED] Scheduler stopped.
2026-02-04 18:36:06 [SIGNAL] SIGINT received. Saving scores...
2026-02-04 18:36:06 [SCORE] Scores saved to file.
2026-02-04 18:36:06 [LOG] Logger stopped.
2026-02-04 18:39:52 [SCORE] Scores loaded from file.
2026-02-04 18:39:52 [GAME] New secret number generated: 82
2026-02-04 18:39:52 [GAME] New game started.
2026-02-04 18:39:56 [MAIN] Forking client processes...
2026-02-04 18:39:56 [MAIN] Forked player 0 (PID: 878)
2026-02-04 18:39:56 [MAIN] Forked player 1 (PID: 879)
2026-02-04 18:39:56 [MAIN] Forked player 2 (PID: 880)
2026-02-04 18:39:56 [MAIN] Forked player 3 (PID: 881)
2026-02-04 18:39:56 [MAIN] Server running.
2026-02-04 18:39:56 [SCHED] Round Robin scheduler started.
2026-02-04 18:39:56 [LOG] Logger started.
2026-02-04 18:39:57 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:39:58 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:39:58 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:39:59 [SCHED] Turn moved: 3 -> 0
2026-02-04 18:40:00 [SCHED] Turn moved: 0 -> 1
2026-02-04 18:40:01 [SCHED] Turn moved: 1 -> 2
2026-02-04 18:40:02 [SCHED] Turn moved: 2 -> 3
2026-02-04 18:40:02 [SCHED] Turn moved: 3 -> 0
